"Key","Coach","Status","Month","Day","Year","PF","Opponent","PA","Location","State","Special"
"544","J. Thompson ""Tommy"" Prothro","W","10","27","1962","51","West Virginia","22","Portland"," OR",
"545","J. Thompson ""Tommy"" Prothro","W","11","3","1962","18","Washington St.","12","Pullman"," WA",
"546","J. Thompson ""Tommy"" Prothro","W","11","10","1962","32","Idaho","0","Moscow"," ID",
"547","J. Thompson ""Tommy"" Prothro","W","11","17","1962","25","Colorado St.","14","Corvallis"," OR",
"548","J. Thompson ""Tommy"" Prothro","W","11","24","1962","20","Oregon","17","Corvallis"," OR",
"549","J. Thompson ""Tommy"" Prothro","W","12","15","1962","6","Villanova (PA)","0","Philadelphia"," PA","Liberty Bowl"
"550","J. Thompson ""Tommy"" Prothro","W","9","21","1963","29","Utah","14","Salt Lake City"," UT",
"551","J. Thompson ""Tommy"" Prothro","W","9","28","1963","41","Colorado","6","Portland"," OR",
"552","J. Thompson ""Tommy"" Prothro","W","10","3","1963","22","Baylor (TX)","15","Portland"," OR",
"553","J. Thompson ""Tommy"" Prothro","L","10","12","1963","7","Washington","34","Seattle"," WA",
"554","J. Thompson ""Tommy"" Prothro","W","10","19","1963","30","Washington St.","6","Corvallis"," OR",
"555","J. Thompson ""Tommy"" Prothro","L","10","26","1963","8","Syracuse (NY)","31","Syracuse"," NY",
"556","J. Thompson ""Tommy"" Prothro","W","11","2","1963","10","Stanford (CA)","7","Corvallis"," OR",
"557","J. Thompson ""Tommy"" Prothro","L","11","9","1963","15","Indiana","20","Bloomington"," IN",
"558","J. Thompson ""Tommy"" Prothro","L","11","15","1963","22","Southern California","28","Los Angeles"," CA",
"559","J. Thompson ""Tommy"" Prothro","L","11","30","1963","14","Oregon","31","Eugene"," OR",
"560","J. Thompson ""Tommy"" Prothro","L","9","19","1964","3","Northwestern (IL)","7","Evanston"," IL",
"561","J. Thompson ""Tommy"" Prothro","W","9","26","1964","14","Colorado","7","Boulder"," CO",
"562","J. Thompson ""Tommy"" Prothro","W","10","3","1964","13","Baylor (TX)","6","Waco"," TX",
"563","J. Thompson ""Tommy"" Prothro","W","10","10","1964","9","Washington","7","Portland"," OR",
"564","J. Thompson ""Tommy"" Prothro","W","10","17","1964","10","Idaho","7","Corvallis"," OR",
"565","J. Thompson ""Tommy"" Prothro","W","10","24","1964","31","Syracuse (NY)","13","Portland"," OR",
"566","J. Thompson ""Tommy"" Prothro","W","10","31","1964","24","Washington St.","7","Pullman"," WA",
"567","J. Thompson ""Tommy"" Prothro","W","11","7","1964","24","Indiana","14","Corvallis"," OR",
"568","J. Thompson ""Tommy"" Prothro","L","11","14","1964","7","Stanford (CA)","16","Stanford"," CA",
"569","J. Thompson ""Tommy"" Prothro","W","11","21","1964","7","Oregon","6","Corvallis"," OR",
"570","J. Thompson ""Tommy"" Prothro","L","1","1","1965","7","Michigan","34","Pasadena"," CA","Rose Bowl"
"571","Dee Andros","W","9","18","1965","12","Illinois","10","Champaign"," IL",
"572","Dee Andros","L","9","25","1965","7","Iowa","27","Portland"," OR",
"573","Dee Andros","L","10","1","1965","12","Southern California","26","Los Angeles"," CA",
"574","Dee Andros","L","10","9","1965","7","Northwestern (IL)","15","Evanston"," IL",
"575","Dee Andros","W","10","16","1965","16","Idaho","14","Boise"," ID",
"576","Dee Andros","W","10","23","1965","10","Utah","6","Corvallis"," OR",
"577","Dee Andros","L","10","30","1965","8","Washington St.","10","Corvallis"," OR",
"578","Dee Andros","W","11","6","1965","13","Syracuse (NY)","12","Syracuse"," NY",
"579","Dee Andros","L","11","13","1965","21","Washington","28","Seattle"," WA",
"580","Dee Andros","W","11","20","1965","19","Oregon","14","Eugene"," OR",
"581","Dee Andros","L","9","17","1966","0","Michigan","41","Ann Arbor"," MI",
"582","Dee Andros","W","9","24","1966","17","Iowa","3","Iowa City"," IA",
"583","Dee Andros","L","10","1","1966","0","Southern California","21","Portland"," OR",
"584","Dee Andros","L","10","8","1966","6","Northwestern (IL)","14","Corvallis"," OR",
"585","Dee Andros","W","10","15","1966","14","Idaho","7","Corvallis"," OR",
"586","Dee Andros","W","10","22","1966","18","Arizona St.","17","Tempe"," AZ",
"587","Dee Andros","W","10","29","1966","41","Washington St.","13","Pullman"," WA",
"588","Dee Andros","W","11","5","1966","31","Arizona","12","Portland"," OR",
"589","Dee Andros","W","11","12","1966","24","Washington","13","Corvallis"," OR",
"590","Dee Andros","W","11","19","1966","20","Oregon","15","Corvallis"," OR",
"591","Dee Andros","W","9","16","1967","13","Stanford (CA)","7","Portland"," OR",
"592","Dee Andros","W","9","23","1967","27","Arizona St.","21","Tempe"," AZ",
"593","Dee Andros","W","9","30","1967","38","Iowa","18","Iowa City"," IA",
"594","Dee Andros","L","10","7","1967","6","Washington","13","Seattle"," WA",
"595","Dee Andros","L","10","14","1967","13","Brigham Young (UT)","31","Corvallis"," OR",
"596","Dee Andros","W","10","21","1967","22","Purdue (IN)","14","West Lafayette"," IN",
"597","Dee Andros","W","10","28","1967","35","Washington St.","7","Corvallis"," OR",
"598","Dee Andros","T","11","4","1967","16","UCLA","16","Los Angeles"," CA",
"599","Dee Andros","W","11","11","1967","3","Southern California","0","Corvallis"," OR",
"600","Dee Andros","W","11","18","1967","14","Oregon","10","Eugene"," OR",
"601","Dee Andros","L","9","21","1968","20","Iowa","21","Iowa City"," IA",
"602","Dee Andros","W","9","28","1968","24","Utah","21","Salt Lake City"," UT",
"603","Dee Andros","W","10","5","1968","35","Washington","21","Corvallis"," OR",
"604","Dee Andros","L","10","12","1968","34","Kentucky","35","Lexington"," KY",
"605","Dee Andros","W","10","19","1968","28","Arizona St.","9","Portland"," OR",
"606","Dee Andros","W","10","26","1968","16","Washington St.","8","Pullman"," WA",
"607","Dee Andros","W","11","2","1968","29","Stanford (CA)","7","Stanford"," CA",
"608","Dee Andros","W","11","9","1968","45","UCLA","21","Corvallis"," OR",
"609","Dee Andros","L","11","16","1968","13","Southern California","17","Los Angeles"," CA",
"610","Dee Andros","W","11","23","1968","41","Oregon","19","Corvallis"," OR",
"611","Dee Andros","L","9","13","1969","0","UCLA","37","Los Angeles"," CA",
"612","Dee Andros","W","9","20","1969","42","Iowa","14","Iowa City"," IA",
"613","Dee Andros","W","9","27","1969","30","Arizona St.","7","Tempe"," AZ",
"614","Dee Andros","L","10","4","1969","7","Southern California","31","Corvallis"," OR",
"615","Dee Andros","W","10","18","1969","10","Washington","6","Seattle"," WA",
"616","Dee Andros","L","10","25","1969","3","Utah","7","Portland"," OR",
"617","Dee Andros","L","11","1","1969","0","Stanford (CA)","33","Corvallis"," OR",
"618","Dee Andros","W","11","8","1969","35","California","3","Berkeley"," CA",
"619","Dee Andros","W","11","15","1969","38","Washington St.","3","Corvallis"," OR",
"620","Dee Andros","W","11","22","1969","10","Oregon","7","Eugene"," OR",
"621","Dee Andros","L","9","12","1970","9","UCLA","14","Corvallis"," OR",
"622","Dee Andros","W","9","19","1970","21","Iowa","14","Portland"," OR",
"623","Dee Andros","W","9","26","1970","23","Oklahoma","14","Norman"," OK",
"624","Dee Andros","L","10","3","1970","13","Southern California","45","Los Angeles"," CA",
"625","Dee Andros","W","10","10","1970","31","Utah","21","Corvallis"," OR",
"626","Dee Andros","L","10","17","1970","16","Houston (TX)","19","Houston"," TX",
"627","Dee Andros","L","10","24","1970","20","Washington","29","Corvallis"," OR",
"628","Dee Andros","L","10","31","1970","10","Stanford (CA)","48","Stanford"," CA",
"629","Dee Andros","W","11","7","1970","16","California","10","Corvallis"," OR",
"630","Dee Andros","W","11","14","1970","28","Washington St.","16","Spokane"," WA",
"631","Dee Andros","W","11","21","1970","24","Oregon","9","Corvallis"," OR",
"632","Dee Andros","L","9","11","1971","25","Georgia","56","Athens"," GA",
"633","Dee Andros","W","9","18","1971","33","Iowa","19","Corvallis"," OR",
"634","Dee Andros","L","9","25","1971","14","Michigan St.","31","East Lansing"," MI",
"635","Dee Andros","W","10","2","1971","34","UCLA","17","Los Angeles"," CA",
"636","Dee Andros","L","10","9","1971","27","California","30","Berkeley"," CA",
"637","Dee Andros","W","10","16","1971","24","Arizona St.","18","Portland"," OR",
"638","Dee Andros","L","10","23","1971","14","Washington","38","Seattle"," WA",
"639","Dee Andros","L","10","30","1971","24","Stanford (CA)","31","Corvallis"," OR",
"640","Dee Andros","L","11","6","1971","22","Arizona","34","Tucson"," AZ",
"641","Dee Andros","W","11","13","1971","21","Washington St.","14","Corvallis"," OR",
"642","Dee Andros","W","11","20","1971","30","Oregon","29","Eugene"," OR",
"643","Dee Andros","L","9","8","1972","8","San Diego St. (CA)","17","San Diego"," CA","Jack Murphy Stadium"
"644","Dee Andros","L","9","16","1972","6","Southern California","51","Los Angeles"," CA",
"645","Dee Andros","L","9","23","1972","11","Iowa","19","Iowa City"," IA",
"646","Dee Andros","W","9","30","1972","29","Brigham Young (UT)","3","Corvallis"," OR",
"647","Dee Andros","L","10","7","1972","7","Arizona St.","38","Tempe"," AZ",
"648","Dee Andros","L","10","14","1972","7","UCLA","37","Corvallis"," OR",
"649","Dee Andros","L","10","21","1972","7","Washington St.","37","Pullman"," WA",
"650","Dee Andros","L","10","28","1972","11","Stanford (CA)","17","Stanford"," CA",
"651","Dee Andros","L","11","4","1972","16","Washington","23","Corvallis"," OR",
"652","Dee Andros","W","11","11","1972","26","California","23","Portland"," OR",
"653","Dee Andros","L","11","18","1972","3","Oregon","30","Corvallis"," OR",
"654","Dee Andros","L","9","15","1973","9","Auburn (AL)","18","Birmingham"," AL",
"655","Dee Andros","L","9","22","1973","16","Southern Methodist (TX)","35","Corvallis"," OR",
"656","Dee Andros","L","9","29","1973","14","Brigham Young (UT)","37","Provo"," UT",
"657","Dee Andros","L","10","6","1973","7","Southern California","21","Corvallis"," OR",
"658","Dee Andros","W","10","13","1973","31","Washington","7","Seattle"," WA",
"659","Dee Andros","L","10","20","1973","14","California","24","Berkeley"," CA",
"660","Dee Andros","L","10","27","1973","14","Arizona St.","44","Portland"," OR",
"661","Dee Andros","L","11","3","1973","23","Stanford (CA)","24","Corvallis"," OR",
"662","Dee Andros","L","11","10","1973","7","Washington St.","13","Corvallis"," OR",
"663","Dee Andros","L","11","17","1973","14","UCLA","56","Los Angeles"," CA",
"664","Dee Andros","W","11","24","1973","17","Oregon","14","Eugene"," OR",
"665","Dee Andros","L","9","7","1974","15","Syracuse (NY)","23","Syracuse"," NY",
"666","Dee Andros","L","9","14","1974","35","Georgia","48","Athens"," GA",
"667","Dee Andros","L","9","21","1974","10","Ohio St.","51","Columbus"," OH",
"668","Dee Andros","L","10","5","1974","30","Southern Methodist (TX)","37","Dallas"," TX",
"669","Dee Andros","W","10","12","1974","23","Washington","9","Corvallis"," OR",
"670","Dee Andros","L","10","19","1974","14","California","17","Corvallis"," OR",
"671","Dee Andros","L","10","26","1974","10","Southern California","31","Los Angeles"," CA",
"672","Dee Andros","L","11","2","1974","13","Stanford (CA)","17","Stanford"," CA",
"673","Dee Andros","W","11","9","1974","17","Washington St.","3","Pullman"," WA",
"674","Dee Andros","L","11","16","1974","14","UCLA","33","Corvallis"," OR",
"675","Dee Andros","W","11","23","1974","35","Oregon","16","Corvallis"," OR",
"676","Dee Andros","L","9","13","1975","0","San Diego St. (CA)","25","Portland"," OR","Civic Stadium"
"677","Dee Andros","L","9","19","1975","7","Southern California","24","Los Angeles"," CA",
"678","Dee Andros","L","9","27","1975","0","Kansas","20","Lawrence"," KS",
"679","Dee Andros","L","10","4","1975","12","Grambling St. (LA)","19","Portland"," OR",
"680","Dee Andros","L","10","11","1975","8","Colorado St.","17","Corvallis"," OR",
"681","Dee Andros","L","10","18","1975","24","California","51","Berkeley"," CA",
"682","Dee Andros","L","10","25","1975","7","Washington","35","Seattle"," WA",
"683","Dee Andros","L","11","1","1975","22","Stanford (CA)","28","Corvallis"," OR",
"684","Dee Andros","W","11","8","1975","7","Washington St.","0","Corvallis"," OR",
"685","Dee Andros","L","11","15","1975","9","UCLA","31","Los Angeles"," CA",
"686","Dee Andros","L","11","22","1975","7","Oregon","14","Eugene"," OR",
"687","Craig Fertig","L","9","4","1976","16","Kansas","28","Corvallis"," OR",
"688","Craig Fertig","L","9","11","1976","13","Kentucky","38","Lexington"," KY",
"689","Craig Fertig","L","9","18","1976","11","Louisiana St.","28","Baton Rouge"," LA",
"690","Craig Fertig","L","10","2","1976","3","Syracuse (NY)","21","Syracuse"," NY",
"691","Craig Fertig","L","10","9","1976","12","Washington","24","Corvallis"," OR",
"692","Craig Fertig","W","10","16","1976","10","California","9","Corvallis"," OR",
"693","Craig Fertig","L","10","23","1976","0","Southern California","56","Los Angeles"," CA",
"694","Craig Fertig","L","10","30","1976","3","Stanford (CA)","24","Stanford"," CA",
"695","Craig Fertig","L","11","6","1976","24","Washington St.","29","Pullman"," WA",
"696","Craig Fertig","L","11","13","1976","14","UCLA","45","Corvallis"," OR",
"697","Craig Fertig","L","11","20","1976","14","Oregon","23","Corvallis"," OR",
"698","Craig Fertig","W","11","27","1976","59","Hawaii","0","Honolulu"," HI",
"699","Craig Fertig","W","9","10","1977","24","Syracuse (NY)","12","Corvallis"," OR",
"700","Craig Fertig","L","9","17","1977","10","Southern California","17","Corvallis"," OR",
"701","Craig Fertig","L","9","24","1977","31","Arizona St.","33","Tempe"," AZ",
"702","Craig Fertig","L","10","1","1977","10","Tennessee","41","Knoxville"," TN",
"703","Craig Fertig","W","10","8","1977","24","Brigham Young (UT)","19","Corvallis"," OR",
"704","Craig Fertig","L","10","15","1977","17","California","41","Berkeley"," CA",
"705","Craig Fertig","L","10","22","1977","6","Washington","14","Seattle"," WA",
"706","Craig Fertig","L","10","29","1977","7","Stanford (CA)","26","Corvallis"," OR",
"707","Craig Fertig","L","11","5","1977","10","Washington St.","24","Corvallis"," OR",
"708","Craig Fertig","L","11","12","1977","18","UCLA","48","Los Angeles"," CA","UCLA Forfeits - record not affected"
"709","Craig Fertig","L","11","19","1977","16","Oregon","28","Eugene"," OR",
"710","Craig Fertig","L","9","9","1978","6","Brigham Young (UT)","10","Corvallis"," OR",
"711","Craig Fertig","L","9","16","1978","7","Arizona","21","Tucson"," AZ",
"712","Craig Fertig","T","9","23","1978","13","Tennessee","13","Knoxville"," TN",
"713","Craig Fertig","L","9","30","1978","0","Washington","34","Corvallis"," OR",
"714","Craig Fertig","W","10","7","1978","17","Minnesota","14","Minneapolis"," MN",
"715","Craig Fertig","L","10","21","1978","7","Southern California","38","Los Angeles"," CA",
"716","Craig Fertig","L","10","28","1978","6","Stanford (CA)","24","Stanford"," CA",
"717","Craig Fertig","W","11","4","1978","32","Washington St.","31","Pullman"," WA",
"718","Craig Fertig","W","11","11","1978","15","UCLA","13","Corvallis"," OR",
"719","Craig Fertig","L","11","18","1978","22","Arizona St.","44","Corvallis"," OR",
"720","Craig Fertig","L","11","25","1978","3","Oregon","24","Corvallis"," OR",
"721","Craig Fertig","L","9","8","1979","16","New Mexico","35","Albuquerque"," NM",
"722","Craig Fertig","L","9","15","1979","5","Southern California","42","Corvallis"," OR",
"723","Craig Fertig","L","9","22","1979","16","Kansas St.","22","Manhattan"," KS",
"724","Craig Fertig","L","9","29","1979","0","Arizona St.","45","Corvallis"," OR","Arizona St. Forfeits - record not affected"
"725","Craig Fertig","L","10","6","1979","0","Washington","41","Seattle"," WA",
"726","Craig Fertig","L","10","13","1979","0","California","45","Berkeley"," CA",
"727","Craig Fertig","L","10","20","1979","14","San Jose St. (CA)","24","Corvallis"," OR",
"728","Craig Fertig","W","10","27","1979","33","Stanford (CA)","31","Corvallis"," OR",
"729","Craig Fertig","L","11","3","1979","42","Washington St.","45","Corvallis"," OR",
"730","Craig Fertig","L","11","17","1979","18","Arizona","42","Tucson"," AZ",
"731","Craig Fertig","L","11","29","1979","3","Oregon","24","Eugene"," OR",
"732","Joe Avezzano","L","9","13","1980","10","Wyoming","30","Laramie"," WY",
"733","Joe Avezzano","L","9","20","1980","14","Arizona St.","42","Tempe"," AZ",
"734","Joe Avezzano","L","9","27","1980","0","Texas","35","Austin"," TX",
"735","Joe Avezzano","L","10","11","1980","6","Washington","41","Corvallis"," OR",
"736","Joe Avezzano","L","10","18","1980","6","California","27","Berkeley"," CA",
"737","Joe Avezzano","L","10","25","1980","21","Cal St.-Long Beach","31","Corvallis"," OR",
"738","Joe Avezzano","L","11","1","1980","13","Stanford (CA)","54","Stanford"," CA",
"739","Joe Avezzano","L","11","8","1980","7","Washington St.","28","Pullman"," WA",
"740","Joe Avezzano","L","11","15","1980","21","Oregon","40","Corvallis"," OR",
"741","Joe Avezzano","L","11","22","1980","7","Arizona","24","Corvallis"," OR",
"742","Joe Avezzano","L","11","30","1980","3","UCLA","34","Tokyo"," Japan","Mirage Bowl"
"743","Joe Avezzano","W","9","12","1981","31","Fresno St. (CA)","28","Corvallis"," OR",
"744","Joe Avezzano","L","9","19","1981","24","Louisiana St.","27","Baton Rouge"," LA",
"745","Joe Avezzano","L","9","26","1981","12","Minnesota","42","Minneapolis"," MN",
"746","Joe Avezzano","L","10","3","1981","22","Southern California","56","Corvallis"," OR",
"747","Joe Avezzano","L","10","10","1981","0","Washington St.","23","Corvallis"," OR",
"748","Joe Avezzano","L","10","17","1981","17","Washington","56","Seattle"," WA",
"749","Joe Avezzano","L","10","24","1981","3","Oklahoma","42","Norman"," OK",
"750","Joe Avezzano","L","10","31","1981","3","California","45","Berkeley"," CA",
"751","Joe Avezzano","L","11","7","1981","9","Stanford (CA)","63","Corvallis"," OR",
"752","Joe Avezzano","L","11","14","1981","7","Arizona","40","Corvallis"," OR",
"753","Joe Avezzano","L","11","21","1981","17","Oregon","47","Eugene"," OR",
"754","Joe Avezzano","L","9","11","1982","12","Arizona","38","Tucson"," AZ",
"755","Joe Avezzano","L","9","18","1982","7","Louisiana St.","45","Baton Rouge"," LA",
"756","Joe Avezzano","L","9","25","1982","13","San Jose St. (CA)","17","Corvallis"," OR",
"757","Joe Avezzano","L","10","2","1982","5","Stanford (CA)","45","Stanford"," CA",
"758","Joe Avezzano","T","10","9","1982","14","Washington St.","14","Pullman"," WA",
"759","Joe Avezzano","L","10","16","1982","17","Washington","34","Corvallis"," OR",
"760","Joe Avezzano","L","10","23","1982","0","Southern California","38","Los Angeles"," CA",
"761","Joe Avezzano","L","10","30","1982","14","California","28","Corvallis"," OR",
"762","Joe Avezzano","L","11","6","1982","16","Arizona St.","30","Tempe"," AZ",
"763","Joe Avezzano","W","11","20","1982","30","Montana","10","Corvallis"," OR",
"764","Joe Avezzano","L","11","27","1982","6","Oregon","7","Corvallis"," OR",
"765","Joe Avezzano","L","9","3","1983","6","Arizona","50","Tucson"," AZ",
"766","Joe Avezzano","W","9","10","1983","51","Portland St. (OR)","14","Portland"," OR",
"767","Joe Avezzano","L","9","17","1983","10","Southern California","33","Corvallis"," OR",
"768","Joe Avezzano","L","9","24","1983","14","Colorado","38","Boulder"," CO",
"769","Joe Avezzano","L","10","1","1983","21","Nevada-Las Vegas","35","Corvallis"," OR",
"770","Joe Avezzano","L","10","8","1983","7","Washington","34","Seattle"," WA",
"771","Joe Avezzano","L","10","15","1983","19","California","45","Berkeley"," CA",
"772","Joe Avezzano","W","10","29","1983","31","Stanford (CA)","18","Corvallis"," OR",
"773","Joe Avezzano","L","11","5","1983","9","Washington St.","27","Corvallis"," OR",
"774","Joe Avezzano","L","11","12","1983","3","Arizona St.","38","Tempe"," AZ",
"775","Joe Avezzano","T","11","19","1983","0","Oregon","0","Eugene"," OR",
"776","Joe Avezzano","L","9","8","1984","14","Ohio St.","22","Columbus"," OH",
"777","Joe Avezzano","L","9","15","1984","8","Arizona","27","Portland"," OR",
"778","Joe Avezzano","W","9","22","1984","41","Wyoming","14","Corvallis"," OR",
"779","Joe Avezzano","L","9","29","1984","22","Idaho","41","Moscow"," ID",
"780","Joe Avezzano","L","10","6","1984","7","Washington","19","Corvallis"," OR",
"781","Joe Avezzano","W","10","13","1984","9","California","6","Corvallis"," OR",
"782","Joe Avezzano","L","10","20","1984","10","Arizona St.","45","Tempe"," AZ",
"783","Joe Avezzano","L","10","27","1984","21","Stanford (CA)","28","Corvallis"," OR",
"784","Joe Avezzano","L","11","3","1984","3","Washington St.","20","Pullman"," WA",
"785","Joe Avezzano","L","11","10","1984","17","UCLA","26","Pasadena"," CA",
"786","Joe Avezzano","L","11","17","1984","6","Oregon","31","Corvallis"," OR",
"787","Dave Kragthorpe","W","9","7","1985","43","Idaho","28","Corvallis"," OR",
"788","Dave Kragthorpe","W","9","14","1985","23","California","20","Portland"," OR",
"789","Dave Kragthorpe","L","9","21","1985","24","Fresno St. (CA)","33","Corvallis"," OR",
"790","Dave Kragthorpe","L","9","28","1985","6","Grambling St. (LA)","23","Shreveport"," LA",
"791","Dave Kragthorpe","L","10","5","1985","0","Southern California","63","Los Angeles"," CA",
"792","Dave Kragthorpe","L","10","12","1985","0","Washington St.","34","Corvallis"," OR",
"793","Dave Kragthorpe","W","10","19","1985","21","Washington","20","Seattle"," WA",
"794","Dave Kragthorpe","L","11","2","1985","6","Arizona","27","Corvallis"," OR",
"795","Dave Kragthorpe","L","11","9","1985","24","Stanford (CA)","39","Stanford"," CA",
"796","Dave Kragthorpe","L","11","16","1985","0","UCLA","41","Pasadena"," CA",
"797","Dave Kragthorpe","L","11","23","1985","13","Oregon","34","Eugene"," OR",
"798","Dave Kragthorpe","L","9","13","1986","0","Fresno St. (CA)","27","Fresno"," CA",
"799","Dave Kragthorpe","L","9","20","1986","12","Michigan","31","Ann Arbor"," MI",
"800","Dave Kragthorpe","L","9","27","1986","7","Stanford (CA)","17","Corvallis"," OR",
"801","Dave Kragthorpe","L","10","4","1986","14","Washington St.","24","Pullman"," WA",
"802","Dave Kragthorpe","W","10","11","1986","14","California","12","Berkeley"," CA",
"803","Dave Kragthorpe","L","10","18","1986","12","Arizona","23","Tucson"," AZ",
"804","Dave Kragthorpe","W","10","25","1986","34","Boise St. (ID)","3","Corvallis"," OR",
"805","Dave Kragthorpe","L","11","1","1986","0","UCLA","49","Portland"," OR",
"806","Dave Kragthorpe","L","11","8","1986","12","Washington","28","Corvallis"," OR",
"807","Dave Kragthorpe","W","11","15","1986","10","Brigham Young (UT)","7","Provo"," UT",
"808","Dave Kragthorpe","L","11","22","1986","28","Oregon","49","Corvallis"," OR",
"809","Dave Kragthorpe","L","9","12","1987","7","Georgia","41","Athens"," GA",
"810","Dave Kragthorpe","W","9","19","1987","36","San Jose St. (CA)","34","Corvallis"," OR",
"811","Dave Kragthorpe","L","9","26","1987","16","Texas","61","Austin"," TX",
"812","Dave Kragthorpe","L","10","3","1987","14","Southern California","48","Los Angeles"," CA",
"813","Dave Kragthorpe","W","10","10","1987","42","Akron (OH)","26","Corvallis"," OR",
"814","Dave Kragthorpe","L","10","17","1987","17","Arizona","31","Tucson"," AZ",
"815","Dave Kragthorpe","L","10","24","1987","21","Arizona St.","30","Corvallis"," OR",
"816","Dave Kragthorpe","L","10","31","1987","12","Washington","28","Seattle"," WA",
"817","Dave Kragthorpe","L","11","7","1987","17","UCLA","52","Corvallis"," OR",
"818","Dave Kragthorpe","L","11","14","1987","7","Stanford (CA)","38","Corvallis"," OR",
"819","Dave Kragthorpe","L","11","21","1987","0","Oregon","44","Eugene"," OR",
"820","Dave Kragthorpe","L","9","3","1988","13","Arizona","24","Corvallis"," OR",
"821","Dave Kragthorpe","W","9","10","1988","41","San Jose St. (CA)","27","San Jose"," CA",
"822","Dave Kragthorpe","W","9","17","1988","17","California","16","Corvallis"," OR",
"823","Dave Kragthorpe","L","9","24","1988","21","Colorado","28","Boulder"," CO",
"824","Dave Kragthorpe","W","10","1","1988","21","Fresno St. (CA)","10","Corvallis"," OR",
"825","Dave Kragthorpe","L","10","8","1988","21","UCLA","38","Pasadena"," CA",
"826","Dave Kragthorpe","T","10","22","1988","20","Stanford (CA)","20","Stanford"," CA",
"827","Dave Kragthorpe","L","10","29","1988","20","Southern California","41","Corvallis"," OR",
"828","Dave Kragthorpe","L","11","5","1988","24","Arizona St.","30","Tempe"," AZ",
"829","Dave Kragthorpe","L","11","12","1988","27","Washington St.","36","Pullman"," WA",
"830","Dave Kragthorpe","W","11","19","1988","21","Oregon","10","Corvallis"," OR",
"831","Dave Kragthorpe","W","9","9","1989","20","Stanford (CA)","16","Corvallis"," OR",
"832","Dave Kragthorpe","L","9","16","1989","3","Washington St.","41","Pullman"," WA",
"833","Dave Kragthorpe","W","9","23","1989","37","Boise St. (ID)","30","Boise"," ID",
"834","Dave Kragthorpe","L","9","30","1989","7","Nebraska","35","Lincoln"," NE",
"835","Dave Kragthorpe","L","10","7","1989","18","Fresno St. (CA)","35","Fresno"," CA",
"836","Dave Kragthorpe","T","10","14","1989","17","Arizona St.","17","Corvallis"," OR",
"837","Dave Kragthorpe","W","10","21","1989","18","UCLA","17","Corvallis"," OR",
"838","Dave Kragthorpe","W","10","28","1989","25","California","14","Berkeley"," CA",
"839","Dave Kragthorpe","L","11","4","1989","6","Southern California","48","Los Angeles"," CA",
"840","Dave Kragthorpe","L","11","11","1989","14","Washington","51","Corvallis"," OR",
"841","Dave Kragthorpe","L","11","18","1989","21","Oregon","30","Eugene"," OR",
"842","Dave Kragthorpe","L","11","25","1989","21","Hawaii","23","Honolulu"," HI",
"843","Dave Kragthorpe","L","9","1","1990","15","Montana","22","Corvallis"," OR",
"844","Dave Kragthorpe","L","9","8","1990","12","Kansas","38","Lawrence"," KS",
"845","Dave Kragthorpe","L","9","15","1990","20","Nevada-Las Vegas","45","Corvallis"," OR",
"846","Dave Kragthorpe","L","9","22","1990","3","Stanford (CA)","37","Stanford"," CA",
"847","Dave Kragthorpe","L","9","29","1990","7","Nebraska","31","Lincoln"," NE",
"848","Dave Kragthorpe","W","10","13","1990","35","Arizona","21","Corvallis"," OR",
"849","Dave Kragthorpe","L","10","20","1990","24","Washington St.","55","Corvallis"," OR",
"850","Dave Kragthorpe","L","10","27","1990","17","UCLA","26","Pasadena"," CA",
"851","Dave Kragthorpe","L","11","3","1990","9","Arizona St.","34","Tempe"," AZ",
"852","Dave Kragthorpe","L","11","10","1990","7","Southern California","56","Corvallis"," OR",
"853","Dave Kragthorpe","L","11","17","1990","3","Oregon","6","Corvallis"," OR",
"854","Jerry Pettibone","L","9","7","1991","10","Utah","22","Corvallis"," OR",
"855","Jerry Pettibone","L","9","14","1991","9","Nevada-Las Vegas","23","Las Vegas"," NV",
"856","Jerry Pettibone","L","9","21","1991","20","Fresno St. (CA)","24","Corvallis"," OR",
"857","Jerry Pettibone","L","10","5","1991","7","Washington St.","55","Pullman"," WA",
"858","Jerry Pettibone","L","10","12","1991","7","Arizona St.","24","Corvallis"," OR",
"859","Jerry Pettibone","L","10","19","1991","7","UCLA","44","Corvallis"," OR",
"860","Jerry Pettibone","L","10","26","1991","10","Stanford (CA)","40","Stanford"," CA",
"861","Jerry Pettibone","L","11","2","1991","21","Arizona","45","Tucson"," AZ",
"862","Jerry Pettibone","L","11","9","1991","14","California","27","Corvallis"," OR",
"863","Jerry Pettibone","L","11","16","1991","6","Washington","58","Corvallis"," OR",
"864","Jerry Pettibone","W","11","23","1991","14","Oregon","3","Eugene"," OR",
"865","Jerry Pettibone","L","9","5","1992","20","Kansas","49","Corvallis"," OR",
"866","Jerry Pettibone","W","9","12","1992","46","Fresno St. (CA)","36","Corvallis"," OR",
"867","Jerry Pettibone","T","9","19","1992","14","Arizona","14","Corvallis"," OR",
"868","Jerry Pettibone","L","9","26","1992","9","Utah","42","Salt Lake City"," UT",
"869","Jerry Pettibone","L","10","3","1992","0","California","42","Berkeley"," CA",
"870","Jerry Pettibone","L","10","10","1992","10","Washington St.","35","Corvallis"," OR",
"871","Jerry Pettibone","L","10","17","1992","13","Arizona St.","40","Tempe"," AZ",
